Time,axis_2_enc_position_resolver_motor,axis_2_actual_position,axis_2_raw_position_resolver_motor,raw_position_2_ext
9997,4.866943359375,-7.486083859448411,-583593.0,2966
10097,4.866943359375,-7.486083859448411,-583593.0,2966
10196,4.866943359375,-7.486083859448411,-583593.0,2966
10294,50.1910400390625,-7.486083859448411,-583593.0,2966
10395,50.1910400390625,-7.486083859448411,-583593.0,2966
10496,50.1910400390625,-7.486083859448411,-583593.0,2966
10597,50.1910400390625,-7.486083859448411,-583593.0,2966
10700,50.1910400390625,-7.486083859448411,-583593.0,2966
10795,50.1910400390625,-11.866833435334,-583593.0,2966
10895,50.1910400390625,-11.866833435334,-583593.0,2966
11001,50.1910400390625,-11.866833435334,-899737.0,2966
11096,50.1910400390625,-11.866833435334,-899737.0,2966
11197,50.1910400390625,-11.866833435334,-899737.0,2966
11295,175.594482421875,-11.866833435334,-899737.0,2966
11395,175.594482421875,-11.866833435334,-899737.0,2966
11495,175.594482421875,-11.866833435334,-899737.0,2811
11594,175.594482421875,-11.866833435334,-899737.0,2811
11695,175.594482421875,-11.866833435334,-899737.0,2811
11797,175.594482421875,-15.926904976021362,-899737.0,2811
11896,175.594482421875,-15.926904976021362,-899737.0,2811
11997,32.7337646484375,-15.926904976021362,-1185051.0,2811
12102,32.7337646484375,-15.926904976021362,-1185051.0,2811
12197,32.7337646484375,-15.926904976021362,-1185051.0,2811
12295,32.7337646484375,-15.926904976021362,-1185051.0,2811
12400,32.7337646484375,-15.926904976021362,-1185051.0,2811
12496,32.7337646484375,-15.926904976021362,-1185051.0,2811
12601,32.7337646484375,-15.926904976021362,-1185051.0,2811
12700,32.7337646484375,-15.926904976021362,-1185051.0,2811
12797,32.7337646484375,-20.327727983301447,-1487947.0,2811
12900,32.7337646484375,-20.327727983301447,-1487947.0,2811
12997,107.0013427734375,-20.327727983301447,-1487947.0,2811
13097,107.0013427734375,-20.327727983301447,-1487947.0,2811
13195,107.0013427734375,-20.327727983301447,-1487947.0,2811
13297,107.0013427734375,-20.327727983301447,-1487947.0,2811
13395,107.0013427734375,-20.327727983301447,-1487947.0,2811
13494,107.0013427734375,-24.150055708172943,-1487947.0,2659
13596,107.0013427734375,-24.150055708172943,-1487947.0,2659
