Time,axis_3_raw_position_resolver_motor,axis_3_actual_position,raw_position_3_ext
15719,-1622051.0,-18.160999570097996,2045
15817,-1622051.0,-18.160999570097996,2045
15917,-1622051.0,-18.160999570097996,2045
16017,-1622051.0,-18.160999570097996,2045
16117,-1622051.0,-19.625344384737186,2045
16217,-1622051.0,-19.625344384737186,2045
16317,-1744332.0,-19.625344384737186,2045
16418,-1744332.0,-19.625344384737186,2045
16520,-1744332.0,-19.625344384737186,2045
16617,-1744332.0,-19.625344384737186,2045
16720,-1744332.0,-19.625344384737186,2045
16817,-1849164.0,-20.785631896632417,2045
16917,-1849164.0,-20.785631896632417,2045
17016,-1849164.0,-20.785631896632417,2045
17117,-1849164.0,-20.785631896632417,2045
17217,-1849164.0,-20.785631896632417,1942
17317,-1849164.0,-20.785631896632417,1942
17418,-1849164.0,-20.785631896632417,1942
17517,-1849164.0,-22.166064162650674,1942
17617,-1849164.0,-22.166064162650674,1942
17717,-1973358.0,-22.166064162650674,1942
17819,-1973358.0,-22.166064162650674,1942
17917,-1973358.0,-22.166064162650674,1942
18018,-1973358.0,-22.166064162650674,1942
18117,-1973358.0,-22.166064162650674,1942
18216,-1973358.0,-23.52479845347406,1942
18317,-1973358.0,-23.52479845347406,1942
18417,-2091328.0,-23.52479845347406,1942
18517,-2091328.0,-23.52479845347406,1942
18617,-2091328.0,-23.52479845347406,1942
18717,-2091328.0,-23.52479845347406,1942
18817,-2091328.0,-24.775602742353904,1942
18918,-2091328.0,-24.775602742353904,1942
19017,-2091328.0,-24.775602742353904,1942
19116,-2195550.0,-24.775602742353904,1942
19218,-2195550.0,-24.775602742353904,1942
19317,-2195550.0,-24.775602742353904,1835
19417,-2195550.0,-24.775602742353904,1835
19518,-2195550.0,-25.954137577253984,1835
19618,-2195550.0,-25.954137577253984,1835
19718,-2195550.0,-25.954137577253984,1835
19817,-2311731.0,-25.954137577253984,1835
19917,-2311731.0,-25.954137577253984,1835
20017,-2311731.0,-25.954137577253984,1835
20117,-2311731.0,-25.954137577253984,1835
20217,-2311731.0,-27.4049197291463,1835
20321,-2311731.0,-27.4049197291463,1835
20418,-2311731.0,-27.4049197291463,1835
20517,-2426521.0,-27.4049197291463,1835
20618,-2426521.0,-27.4049197291463,1835
20716,-2426521.0,-27.4049197291463,1835
20817,-2426521.0,-27.4049197291463,1835
20917,-2426521.0,-28.755507281521055,1835
21017,-2426521.0,-28.755507281521055,1835
21119,-2426521.0,-28.755507281521055,1835
21216,-2549701.0,-28.755507281521055,1731
21317,-2549701.0,-28.755507281521055,1731
21418,-2549701.0,-28.755507281521055,1731
21517,-2549701.0,-28.755507281521055,1731
21617,-2549701.0,-29.997833477934027,1731
21717,-2549701.0,-29.997833477934027,1731
21817,-2549701.0,-29.997833477934027,1731
21916,-2662408.0,-29.997833477934027,1731
22018,-2662408.0,-29.997833477934027,1731
22117,-2662408.0,-29.997833477934027,1731
22217,-2662408.0,-29.997833477934027,1731
22318,-2662408.0,-31.47780906143398,1731
22417,-2662408.0,-31.47780906143398,1731
22517,-2662408.0,-31.47780906143398,1731
22617,-2792879.0,-31.47780906143398,1731
22718,-2792879.0,-31.47780906143398,1731
22818,-2792879.0,-31.47780906143398,1731
22918,-2792879.0,-31.47780906143398,1731
23016,-2792879.0,-32.76002342604353,1731
23117,-2792879.0,-32.76002342604353,1731
23217,-2792879.0,-32.76002342604353,1731
23318,-2889714.0,-32.76002342604353,1616
23417,-2889714.0,-32.76002342604353,1616
23518,-2889714.0,-32.76002342604353,1616
23619,-2889714.0,-32.76002342604353,1616
23717,-2889714.0,-33.97323617285327,1616
23819,-2889714.0,-33.97323617285327,1616
23917,-2889714.0,-33.97323617285327,1616
24016,-3014929.0,-33.97323617285327,1616
24118,-3014929.0,-33.97323617285327,1616
24217,-3014929.0,-33.97323617285327,1616
24318,-3014929.0,-33.97323617285327,1616
24416,-3014929.0,-33.97323617285327,1616
24517,-3014929.0,-33.97323617285327,1616
24618,-3014929.0,-33.97323617285327,1616
24718,-3137632.0,-35.567003296619546,1616
24817,-3137632.0,-35.567003296619546,1616
24918,-3137632.0,-35.567003296619546,1616
25017,-3137632.0,-35.567003296619546,1616
25117,-3137632.0,-35.567003296619546,1513
25217,-3137632.0,-35.567003296619546,1513
25317,-3251313.0,-36.845447081021454,1513
25417,-3251313.0,-36.845447081021454,1513
25517,-3251313.0,-36.845447081021454,1513
25616,-3251313.0,-36.845447081021454,1513
25717,-3251313.0,-36.845447081021454,1513
25817,-3251313.0,-38.034619522507334,1513
25919,-3251313.0,-38.034619522507334,1513
26016,-3366184.0,-38.034619522507334,1513
26117,-3366184.0,-38.034619522507334,1513
26218,-3366184.0,-38.034619522507334,1513
26317,-3366184.0,-38.034619522507334,1513
26418,-3366184.0,-38.034619522507334,1513
26517,-3366184.0,-38.034619522507334,1513
26618,-3366184.0,-38.034619522507334,1513
26718,-3366184.0,-39.53969802938966,1513
26819,-3366184.0,-39.53969802938966,1513
26918,-3366184.0,-39.53969802938966,1513
27017,-3496672.0,-39.53969802938966,1400
27118,-3496672.0,-39.53969802938966,1400
27217,-3496672.0,-39.53969802938966,1400
27318,-3496672.0,-39.53969802938966,1400
27418,-3496672.0,-40.90359687249745,1400
27516,-3496672.0,-40.90359687249745,1400
27617,-3496672.0,-40.90359687249745,1400
27718,-3608061.0,-40.90359687249745,1400
27817,-3608061.0,-40.90359687249745,1400
27917,-3608061.0,-40.90359687249745,1400
28017,-3608061.0,-40.90359687249745,1400
28117,-3608061.0,-40.90359687249745,1400
28216,-3717319.0,-42.143157976758154,1400
28317,-3717319.0,-42.143157976758154,1400
28416,-3717319.0,-42.143157976758154,1400
28517,-3717319.0,-42.143157976758154,1400
28617,-3717319.0,-42.143157976758154,1400
28717,-3717319.0,-42.143157976758154,1400
28817,-3717319.0,-42.143157976758154,1400
28917,-3717319.0,-43.56666626514854,1400
29017,-3717319.0,-43.56666626514854,1400
29118,-3837836.0,-43.56666626514854,1293
29217,-3837836.0,-43.56666626514854,1293
29317,-3837836.0,-43.56666626514854,1293
29417,-3837836.0,-43.56666626514854,1293
29518,-3837836.0,-43.56666626514854,1293
29618,-3946223.0,-44.7904480625403,1293
29718,-3946223.0,-44.7904480625403,1293
29816,-3946223.0,-44.7904480625403,1293
29917,-3946223.0,-44.7904480625403,1293
30017,-3946223.0,-44.7904480625403,1293
30117,-3946223.0,-44.7904480625403,1293
30219,-3946223.0,-44.7904480625403,1293
30317,-4051283.0,-45.98541348634519,1293
30418,-4051283.0,-45.98541348634519,1293
30516,-4051283.0,-45.98541348634519,1293
30617,-4051283.0,-45.98541348634519,1293
30717,-4051283.0,-45.98541348634519,1293
30818,-4051283.0,-45.98541348634519,1293
