Time,axis_1_raw_position_resolver_motor,raw_position_1_ext,axis_1_actual_position
63282,-9360354.0,1544,-132.5239139018671
63379,-9360354.0,1494,-132.5239139018671
63478,-9360354.0,1494,-132.5239139018671
63578,-9464125.0,1494,-133.9829712794227
63683,-9464125.0,1494,-133.9829712794227
63786,-9464125.0,1494,-133.9829712794227
63880,-9464125.0,1494,-133.9829712794227
63981,-9464125.0,1494,-133.9829712794227
64082,-9464125.0,1494,-133.9829712794227
64184,-9464125.0,1494,-133.9829712794227
64280,-9464125.0,1494,-135.74772969774853
64385,-9464125.0,1494,-135.74772969774853
64480,-9590127.0,1494,-135.74772969774853
64582,-9590127.0,1494,-135.74772969774853
64679,-9590127.0,1494,-135.74772969774853
64781,-9590127.0,1494,-135.74772969774853
64886,-9590127.0,1494,-135.74772969774853
64980,-9590127.0,1494,-137.44367911892502
65088,-9590127.0,1494,-137.44367911892502
65184,-9713192.0,1494,-137.44367911892502
65280,-9713192.0,1494,-137.44367911892502
65381,-9713192.0,1446,-137.44367911892502
65479,-9713192.0,1446,-137.44367911892502
65582,-9713192.0,1446,-137.44367911892502
65681,-9713192.0,1446,-139.0168171857919
65782,-9713192.0,1446,-139.0168171857919
65880,-9813818.0,1446,-139.0168171857919
65980,-9813818.0,1446,-139.0168171857919
66080,-9813818.0,1446,-139.0168171857919
66181,-9813818.0,1446,-139.0168171857919
66286,-9813818.0,1446,-140.6814355863972
66379,-9813818.0,1446,-140.6814355863972
66484,-9813818.0,1446,-140.6814355863972
66580,-9941201.0,1446,-140.6814355863972
66680,-9941201.0,1446,-140.6814355863972
66780,-9941201.0,1446,-140.6814355863972
66882,-9941201.0,1446,-140.6814355863972
66979,-9941201.0,1446,-140.6814355863972
67083,-9941201.0,1446,-140.6814355863972
67181,-9941201.0,1446,-140.6814355863972
67280,-10061941.0,1446,-142.46675010702802
67385,-10061941.0,1446,-142.46675010702802
67478,-10061941.0,1396,-142.46675010702802
67582,-10061941.0,1396,-142.46675010702802
67679,-10061941.0,1396,-144.04390569941444
67781,-10061941.0,1396,-144.04390569941444
67889,-10061941.0,1396,-144.04390569941444
67983,-10176512.0,1396,-144.04390569941444
68081,-10176512.0,1396,-144.04390569941444
68179,-10176512.0,1396,-144.04390569941444
68280,-10176512.0,1396,-144.04390569941444
68382,-10176512.0,1396,-144.04390569941444
68480,-10176512.0,1396,-144.04390569941444
68589,-10176512.0,1396,-145.74811731088204
68682,-10176512.0,1396,-145.74811731088204
68782,-10176512.0,1396,-145.74811731088204
68879,-10299960.0,1396,-145.74811731088204
68984,-10299960.0,1396,-145.74811731088204
69078,-10299960.0,1396,-145.74811731088204
69184,-10299960.0,1396,-145.74811731088204
69284,-10299960.0,1396,-145.74811731088204
69378,-10299960.0,1347,-147.4586036441858
69485,-10299960.0,1347,-147.4586036441858
69579,-10416093.0,1347,-147.4586036441858
69682,-10416093.0,1347,-147.4586036441858
69781,-10416093.0,1347,-147.4586036441858
69882,-10416093.0,1347,-147.4586036441858
69979,-10416093.0,1347,-147.4586036441858
70081,-10520938.0,1347,-148.93351818077085
70185,-10520938.0,1347,-148.93351818077085
70281,-10520938.0,1347,-148.93351818077085
70382,-10520938.0,1347,-148.93351818077085
70481,-10520938.0,1347,-148.93351818077085
70579,-10520938.0,1347,-148.93351818077085
70683,-10520938.0,1347,-148.93351818077085
70781,-10644935.0,1347,-150.6246125004361
70888,-10644935.0,1347,-150.6246125004361
70980,-10644935.0,1347,-150.6246125004361
71084,-10644935.0,1347,-150.6246125004361
71183,-10644935.0,1347,-150.6246125004361
71282,-10644935.0,1347,-150.6246125004361
71381,-10644935.0,1347,-150.6246125004361
71477,-10644935.0,1298,-152.59490354940513
71582,-10644935.0,1298,-152.59490354940513
71680,-10778052.0,1298,-152.59490354940513
71781,-10778052.0,1298,-152.59490354940513
71882,-10778052.0,1298,-152.59490354940513
71981,-10778052.0,1298,-152.59490354940513
72081,-10778052.0,1298,-152.59490354940513
72184,-10879778.0,1298,-154.07898883328923
72280,-10879778.0,1298,-154.07898883328923
72380,-10879778.0,1298,-154.07898883328923
72482,-10879778.0,1298,-154.07898883328923
72585,-10879778.0,1298,-154.07898883328923
72681,-10879778.0,1298,-154.07898883328923
72781,-10879778.0,1298,-154.07898883328923
72882,-10879778.0,1298,-155.75289155081958
72980,-10879778.0,1298,-155.75289155081958
73083,-11000026.0,1298,-155.75289155081958
73179,-11000026.0,1298,-155.75289155081958
73283,-11000026.0,1298,-155.75289155081958
73380,-11000026.0,1250,-155.75289155081958
73482,-11000026.0,1250,-155.75289155081958
73578,-11000026.0,1250,-157.47054696676426
73680,-11000026.0,1250,-157.47054696676426
73780,-11119170.0,1250,-157.47054696676426
73880,-11119170.0,1250,-157.47054696676426
73984,-11119170.0,1250,-157.47054696676426
74079,-11119170.0,1250,-157.47054696676426
74181,-11119170.0,1250,-157.47054696676426
74283,-11218729.0,1250,-158.86593437274678
74382,-11218729.0,1250,-158.86593437274678
74482,-11218729.0,1250,-158.86593437274678
74580,-11218729.0,1250,-158.86593437274678
74682,-11218729.0,1250,-158.86593437274678
74781,-11218729.0,1250,-160.41400194467542
74880,-11218729.0,1250,-160.41400194467542
74978,-11332092.0,1250,-160.41400194467542
75081,-11332092.0,1250,-160.41400194467542
75182,-11332092.0,1250,-160.41400194467542
75284,-11332092.0,1250,-160.41400194467542
75382,-11332092.0,1250,-160.41400194467542
75479,-11332092.0,1202,-160.41400194467542
75580,-11332092.0,1202,-160.41400194467542
75682,-11332092.0,1202,-162.1259362907106
75781,-11332092.0,1202,-162.1259362907106
75885,-11452783.0,1202,-162.1259362907106
75979,-11452783.0,1202,-162.1259362907106
76087,-11452783.0,1202,-162.1259362907106
76180,-11452783.0,1202,-163.63060606930617
76284,-11452783.0,1202,-163.63060606930617
76378,-11548665.0,1202,-163.63060606930617
76484,-11548665.0,1202,-163.63060606930617
76582,-11548665.0,1202,-163.63060606930617
76680,-11548665.0,1202,-163.63060606930617
76782,-11548665.0,1202,-163.63060606930617
76881,-11548665.0,1202,-165.08221044015588
76982,-11548665.0,1202,-165.08221044015588
77080,-11661898.0,1202,-165.08221044015588
77179,-11661898.0,1202,-165.08221044015588
77282,-11661898.0,1202,-165.08221044015588
77383,-11661898.0,1153,-165.08221044015588
77480,-11661898.0,1153,-165.08221044015588
77578,-11661898.0,1153,-166.8540243714966
77686,-11661898.0,1153,-166.8540243714966
77780,-11802120.0,1153,-166.8540243714966
77881,-11802120.0,1153,-166.8540243714966
77981,-11802120.0,1153,-166.8540243714966
78079,-11802120.0,1153,-166.8540243714966
78182,-11802120.0,1153,-166.8540243714966
78281,-11802120.0,1153,-166.8540243714966
78380,-11802120.0,1153,-166.8540243714966
78480,-11902077.0,1153,-168.63624411981903
78580,-11902077.0,1153,-168.63624411981903
78681,-11902077.0,1153,-168.63624411981903
78780,-11902077.0,1153,-168.63624411981903
78884,-11902077.0,1153,-168.63624411981903
78978,-11902077.0,1153,-170.06587276803884
79081,-11902077.0,1153,-170.06587276803884
79183,-12003888.0,1153,-170.06587276803884
79279,-12003888.0,1153,-170.06587276803884
79384,-12003888.0,1153,-170.06587276803884
79478,-12003888.0,1105,-170.06587276803884
79580,-12003888.0,1105,-170.06587276803884
79680,-12003888.0,1105,-171.7225554910278
79784,-12003888.0,1105,-171.7225554910278
79883,-12003888.0,1105,-171.7225554910278
79978,-12121407.0,1105,-171.7225554910278
80082,-12121407.0,1105,-171.7225554910278
80180,-12121407.0,1105,-171.7225554910278
80282,-12121407.0,1105,-171.7225554910278
80380,-12121407.0,1105,-173.39018348672198
80483,-12121407.0,1105,-173.39018348672198
80586,-12121407.0,1105,-173.39018348672198
80679,-12238770.0,1105,-173.39018348672198
80782,-12238770.0,1105,-173.39018348672198
80880,-12238770.0,1105,-173.39018348672198
80984,-12238770.0,1105,-173.39018348672198
81080,-12337252.0,1105,-174.85114315551297
81179,-12337252.0,1105,-174.85114315551297
81282,-12337252.0,1105,-174.85114315551297
