Time,axis_1_actual_position,axis_1_raw_position_resolver_motor,raw_position_1_ext
80010,173.79141077915668,12273826.0,982
80110,173.79141077915668,12273826.0,982
80210,173.79141077915668,12273826.0,982
80311,173.79141077915668,12273826.0,982
80410,173.79141077915668,12273826.0,982
80510,175.6219827957462,12273826.0,982
80610,175.6219827957462,12273826.0,982
80709,175.6219827957462,12397132.0,982
80811,175.6219827957462,12397132.0,982
80910,175.6219827957462,12397132.0,982
81012,175.6219827957462,12397132.0,982
81110,175.6219827957462,12397132.0,982
81210,177.162086297652,12504032.0,982
81310,177.162086297652,12504032.0,982
81411,177.162086297652,12504032.0,982
81510,177.162086297652,12504032.0,982
81609,177.162086297652,12504032.0,1028
81710,177.162086297652,12504032.0,1028
81810,177.162086297652,12504032.0,1028
81912,178.82988464778515,12625336.0,1028
82011,178.82988464778515,12625336.0,1028
82109,178.82988464778515,12625336.0,1028
82210,178.82988464778515,12625336.0,1028
82310,178.82988464778515,12625336.0,1028
82411,178.82988464778515,12625336.0,1028
82510,178.82988464778515,12625336.0,1028
82610,180.55116009555837,12625336.0,1028
82710,180.55116009555837,12625336.0,1028
82809,180.55116009555837,12746702.0,1028
82911,180.55116009555837,12746702.0,1028
83010,180.55116009555837,12746702.0,1028
83112,180.55116009555837,12746702.0,1028
83209,180.55116009555837,12746702.0,1028
83311,182.1537410879643,12746702.0,1028
83410,182.1537410879643,12746702.0,1028
83510,182.1537410879643,12859184.0,1073
83611,182.1537410879643,12859184.0,1073
83710,182.1537410879643,12859184.0,1073
83812,182.1537410879643,12859184.0,1073
83911,182.1537410879643,12859184.0,1073
84009,183.9172644366074,12859184.0,1073
84110,183.9172644366074,12859184.0,1073
84209,183.9172644366074,12981646.0,1073
84310,183.9172644366074,12981646.0,1073
84410,183.9172644366074,12981646.0,1073
84510,183.9172644366074,12981646.0,1073
84609,183.9172644366074,12981646.0,1073
84710,185.6173591491327,12981646.0,1073
84811,185.6173591491327,12981646.0,1073
84910,185.6173591491327,13103543.0,1073
85009,185.6173591491327,13103543.0,1073
85110,185.6173591491327,13103543.0,1073
85210,185.6173591491327,13103543.0,1073
85310,185.6173591491327,13103543.0,1073
85409,187.07400317213592,13205032.0,1120
85510,187.07400317213592,13205032.0,1120
85611,187.07400317213592,13205032.0,1120
85711,187.07400317213592,13205032.0,1120
85810,187.07400317213592,13205032.0,1120
85911,187.07400317213592,13205032.0,1120
86010,187.07400317213592,13205032.0,1120
86109,188.76999518192218,13205032.0,1120
86210,188.76999518192218,13205032.0,1120
86310,188.76999518192218,13326668.0,1120
86410,188.76999518192218,13326668.0,1120
86509,188.76999518192218,13326668.0,1120
86610,188.76999518192218,13326668.0,1120
86710,188.76999518192218,13326668.0,1120
86810,190.53686883453213,13326668.0,1120
86911,190.53686883453213,13326668.0,1120
87009,190.53686883453213,13449732.0,1120
87110,190.53686883453213,13449732.0,1120
87211,190.53686883453213,13449732.0,1120
87311,190.53686883453213,13449732.0,1167
87410,190.53686883453213,13449732.0,1167
87510,192.04737325266314,13449732.0,1167
87611,192.04737325266314,13449732.0,1167
87710,192.04737325266314,13555858.0,1167
87811,192.04737325266314,13555858.0,1167
87911,192.04737325266314,13555858.0,1167
88009,192.04737325266314,13555858.0,1167
88109,192.04737325266314,13555858.0,1167
88210,193.6674155750657,13555858.0,1167
88310,193.6674155750657,13555858.0,1167
88410,193.6674155750657,13555858.0,1167
88510,193.6674155750657,13686469.0,1167
88610,193.6674155750657,13686469.0,1167
88710,193.6674155750657,13686469.0,1167
88810,193.6674155750657,13686469.0,1167
88911,195.59917812841616,13686469.0,1167
89010,195.59917812841616,13686469.0,1167
